date,close,gain,loss,avg_gain,avg_loss,rsi
391,16573.09,1120.4,0,654.36,314.62,67.53
392,15382.77,0,1190.32,607.62,377.17,61.7
393,16532.82,1150.05,0,646.37,350.23,64.86
394,18553.81,2020.99,0,744.55,325.21,69.6
395,19157.95,604.14,0,734.52,301.98,70.87
396,18578.13,0,579.82,682.06,321.83,67.94
397,16456.92,0,2121.21,633.34,450.35,58.44
398,14335.36,0,2121.55,588.1,569.73,50.79
399,16471.9,2136.54,0,698.7,529.03,56.91
400,16262.56,0,209.35,648.8,506.2,56.17
401,17107.41,844.86,0,662.8,470.04,58.51
402,19518.82,2411.4,0,787.7,436.47,64.35
403,19114.91,0,403.91,731.44,434.14,62.75
404,18749.23,0,365.68,679.19,429.25,61.27
405,15876.85,0,2872.38,630.68,603.76,51.09
406,13855.59,0,2021.26,585.63,705.01,45.38
407,13002.1,0,853.48,543.8,715.61,43.18
408,11036.26,0,1965.84,504.96,804.92,38.55
409,13285.59,2249.33,0,629.55,747.42,45.72
410,12780.48,0,505.11,584.59,730.11,44.47
411,13530.01,749.53,0,596.37,677.96,46.8
412,13419.74,0,110.28,553.77,637.41,46.49
413,13100.2,0,319.53,514.21,614.71,45.55
414,14275.64,1175.43,0,561.44,570.8,49.59
415,15836.66,1561.03,0,632.84,530.03,54.42
416,14902.81,0,933.85,587.64,558.87,51.25
417,14514.43,0,388.38,545.67,546.7,49.95
418,13952.37,0,562.06,506.69,547.79,48.05
419,14519.48,567.11,0,511.01,508.66,50.11
420,14192.3,0,327.18,474.5,495.7,48.91
421,13296.78,0,895.52,440.61,524.26,45.67
422,12745.43,0,551.35,409.14,526.2,43.74
423,11143.09,0,1602.34,379.92,603.06,38.65
424,12120.46,977.36,0,422.59,559.99,43.01
425,12163.6,43.14,0,395.49,519.99,43.2
426,14323.38,2159.78,0,521.51,482.85,51.92
427,13565.49,0,757.9,484.26,502.49,49.08
428,14421.96,856.47,0,510.84,466.6,52.26
429,16126.63,1704.67,0,596.12,433.27,57.91
430,13269.47,0,2857.15,553.54,606.41,47.72
431,14047.22,777.75,0,569.55,563.09,50.29
432,12628.06,0,1419.16,528.87,624.24,45.86
433,11928.45,0,699.61,491.09,629.62,43.82
434,11782.59,0,145.86,456.02,595.07,43.39
435,12303.74,521.15,0,460.67,552.56,45.47
436,12596.39,292.65,0,448.67,513.09,46.65
437,12135.66,0,460.72,416.62,509.35,44.99
438,11573.25,0,562.41,386.86,513.14,42.98
439,11934.66,361.41,0,385.04,476.49,44.69
440,11931.99,0,2.67,357.54,442.65,44.68
441,10861.94,0,1070.05,332.0,487.46,40.51
442,11434.03,572.09,0,349.15,452.64,43.55
443,12422.32,988.29,0,394.8,420.31,48.44
